0:(17,21),(23,23),(1,20),(2,29),(28,26),(13,5),(13,9),(1,29),(14,24),
1:(17,20),(22,23),(1,19),(2,28),(27,26),(12,5),(13,10),(1,28),(14,25),
2:(17,19),(22,24),(2,19),(2,27),(26,26),(11,5),(13,11),(1,27),(13,25),
3:(18,19),(22,25),(3,19),(2,26),(25,26),(10,5),(12,11),(1,26),(12,25),
4:(19,19),(21,25),(4,19),(2,25),(25,27),(10,6),(11,11),(1,25),(11,25),
5:(19,18),(20,25),(4,18),(2,24),(25,28),(10,7),(10,11),(1,24),(10,25),
6:(19,17),(19,25),(4,17),(2,23),(24,28),(9,7),(9,11),(1,23),(9,25),
7:(19,16),(18,25),(4,16),(2,22),(23,28),(8,7),(8,11),(1,22),(8,25),
8:(19,15),(17,25),(5,16),(2,21),(22,28),(7,7),(7,11),(1,21),(8,24),
9:(19,14),(16,25),(6,16),(2,20),(22,29),(6,7),(6,11),(1,20),(8,23),
10:(18,14),(15,25),(7,16),(3,20),(22,30),(5,7),(5,11),(1,19),(8,22),
11:(17,14),(14,25),(8,16),(4,20),(22,31),(4,7),(4,11),(2,19),(7,22),
12:(17,15),(13,25),(9,16),(4,21),(21,31),(3,7),(3,11),(3,19),(6,22),
13:(17,16),(12,25),(10,16),(4,22),(20,31),(2,7),(2,11),(4,19),(5,22),
14:(16,16),(11,25),(10,15),(5,22),(19,31),(2,6),(2,12),(4,18),(5,21),
15:(15,16),(10,25),(10,14),(6,22),(18,31),(2,5),(2,13),(4,17),(5,20),
16:(15,16),(9,25),(10,13),(7,22),(17,31),(2,4),(3,13),(4,16),(5,19),
17:(15,16),(8,25),(9,13),(8,22),(17,30),(3,4),(4,13),(5,16),(5,18),
18:(15,16),(8,24),(8,13),(8,23),(17,29),(4,4),(5,13),(6,16),(5,17),
19:(15,16),(7,24),(7,13),(8,24),(17,28),(4,3),(6,13),(7,16),(5,16),
20:(15,16),(7,23),(6,13),(8,25),(17,27),(4,2),(7,13),(8,16),(6,16),
21:(15,16),(7,22),(5,13),(9,25),(17,26),(4,1),(8,13),(9,16),(7,16),
22:(15,16),(6,22),(4,13),(10,25),(17,25),(5,1),(9,13),(10,16),(8,16),
23:(15,16),(5,22),(3,13),(11,25),(16,25),(5,1),(10,13),(10,15),(9,16),
24:(15,16),(5,21),(2,13),(12,25),(15,25),(5,1),(11,13),(10,14),(10,16),
25:(15,16),(5,20),(2,12),(13,25),(14,25),(5,1),(11,14),(9,14),(10,15),
26:(15,16),(5,19),(2,11),(14,25),(14,24),(5,1),(11,15),(9,13),(10,14),
27:(15,16),(5,18),(2,10),(15,25),(14,23),(5,1),(11,16),(8,13),(10,13),
28:(15,16),(5,17),(3,10),(16,25),(14,22),(5,1),(10,16),(7,13),(9,13),
29:(15,16),(6,17),(4,10),(17,25),(14,21),(5,1),(9,16),(6,13),(8,13),
30:(15,16),(7,17),(5,10),(17,26),(14,20),(5,1),(8,16),(5,13),(7,13),
31:(15,16),(8,17),(6,10),(17,27),(14,19),(5,1),(7,16),(4,13),(6,13),
32:(15,16),(9,17),(7,10),(17,28),(14,18),(5,1),(7,17),(3,13),(5,13),
33:(15,16),(10,17),(8,10),(17,29),(14,17),(5,1),(6,17),(2,13),(4,13),
34:(15,16),(10,18),(9,10),(17,30),(15,17),(5,1),(5,17),(2,12),(3,13),
35:(15,16),(10,19),(10,10),(17,31),(16,17),(5,1),(5,18),(2,11),(2,13),
36:(15,16),(10,19),(11,10),(18,31),(16,16),(5,1),(5,19),(2,10),(2,12),
37:(15,16),(10,19),(12,10),(19,31),(17,16),(5,1),(5,20),(3,10),(2,11),
38:(15,16),(10,19),(13,10),(20,31),(17,15),(5,1),(5,21),(4,10),(2,10),
39:(15,16),(10,19),(13,9),(21,31),(17,14),(5,1),(5,22),(5,10),(3,10),
40:(15,16),(10,19),(13,8),(22,31),(18,14),(5,1),(6,22),(6,10),(4,10),
41:(15,16),(10,19),(13,7),(22,30),(19,14),(5,1),(7,22),(7,10),(5,10),
42:(15,16),(10,19),(14,7),(22,29),(20,14),(5,1),(8,22),(8,10),(6,10),
43:(15,16),(10,19),(15,7),(22,28),(20,15),(5,1),(8,23),(9,10),(7,10),
44:(15,16),(10,19),(16,7),(23,28),(20,16),(5,1),(8,24),(10,10),(8,10),
45:(15,16),(10,19),(17,7),(24,28),(21,16),(5,1),(8,25),(11,10),(9,10),
46:(15,16),(10,19),(18,7),(25,28),(22,16),(5,1),(9,25),(12,10),(10,10),
47:(15,16),(10,19),(19,7),(25,27),(23,16),(5,1),(10,25),(13,10),(11,10),
48:(15,16),(10,19),(20,7),(25,26),(24,16),(5,1),(11,25),(13,9),(12,10),
49:(15,16),(10,19),(21,7),(25,25),(25,16),(5,1),(12,25),(13,8),(13,10),
50:(15,16),(10,19),(22,7),(26,25),(25,16),(5,1),(13,25),(14,8),(13,9),
51:(15,16),(10,19),(22,6),(27,25),(25,16),(5,1),(13,24),(14,8),(13,8),
52:(15,16),(10,19),(22,5),(28,25),(25,16),(5,1),(13,23),(14,8),(13,7),
53:(15,16),(10,19),(22,4),(29,25),(25,16),(5,1),(13,22),(14,8),(14,7),
54:(15,16),(10,19),(22,3),(30,25),(25,16),(5,1),(13,21),(14,8),(15,7),
55:(15,16),(10,19),(22,2),(31,25),(25,16),(5,1),(13,20),(14,8),(16,7),
56:(15,16),(10,19),(21,2),(31,24),(25,16),(5,1),(13,19),(14,8),(17,7),
57:(15,16),(10,19),(20,2),(31,23),(25,16),(5,1),(14,19),(14,8),(18,7),
58:(15,16),(10,19),(19,2),(31,22),(25,16),(5,1),(14,19),(14,8),(19,7),
59:(15,16),(10,19),(18,2),(31,22),(25,16),(5,1),(14,19),(14,8),(20,7),
60:(15,16),(10,19),(17,2),(31,22),(25,16),(5,1),(14,19),(14,8),(21,7),
61:(15,16),(10,19),(16,2),(31,22),(25,16),(5,1),(14,19),(14,8),(22,7),
62:(15,16),(10,19),(15,2),(31,22),(25,16),(5,1),(14,19),(14,8),(22,6),
63:(15,16),(10,19),(14,2),(31,22),(25,16),(5,1),(14,19),(14,8),(22,5),
64:(15,16),(10,19),(13,2),(31,22),(25,16),(5,1),(14,19),(14,8),(22,4),
65:(15,16),(10,19),(12,2),(31,22),(25,16),(5,1),(14,19),(14,8),(22,3),
66:(15,16),(10,19),(11,2),(31,22),(25,16),(5,1),(14,19),(14,8),(22,2),
67:(15,16),(10,19),(10,2),(31,22),(25,16),(5,1),(14,19),(14,8),(21,2),
68:(15,16),(10,19),(9,2),(31,22),(25,16),(5,1),(14,19),(14,8),(20,2),
69:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(19,2),
70:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(18,2),
71:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(17,2),
72:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(16,2),
73:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(15,2),
74:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(14,2),
75:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(13,2),
76:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(12,2),
77:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(11,2),
78:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(10,2),
79:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(9,2),
80:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(9,1),
81:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(8,1),
82:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(7,1),
83:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(7,2),
84:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(7,3),
85:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(8,3),
86:(15,16),(10,19),(8,2),(31,22),(25,16),(5,1),(14,19),(14,8),(8,4),
